,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0.822226451793038,0.8307471607356974,0.8316482442520302,0.8322195221536351,0.8343495256955616,0.8390514964827441,0.8440624942900349,0.8490580369619167,0.8529070027736986,0.8581458444389108,0.865412072245413,0.8745393330063127,0.8818258461575855,0.888461241899838,0.8972675391401745,0.9116859340444834,0.9233596770864259,0.9460425841031209,1.0470063676185861,1.0699995907465079,1.560678784810672,2.537246256869306
1,0.8307471607356972,1.5674532139614057,1.827253090840457,2.0772629905107176,2.244297403051251,2.5372217611487136,2.6542453863226934,2.8215229903911196,2.9512396511093852,3.3076927232411166,3.503407474500604,3.753173872389517,3.892092115711995,4.076980285014523,4.6324896166526175,5.63448629782347,6.4205247171398625,8.065685937621236,8.248180694323036,10.223755544503437,12.928664912454517,9.06936425416335
2,0.822226451793038,1.5625540693880549,1.9206413220070104,2.0736048698385736,2.390293129353893,2.6906819300339997,2.896894774860082,3.0963825053211953,3.1831271543709603,3.3689445308445953,3.5412738343527677,3.909865308654676,5.325532835864177,5.552088291560917,5.310824680204916,7.122844611406015,8.481066854809699,10.018973283119706,11.321237583292348,16.72695956573122,24.73215898604771,16.79805411318969
3,inf,1.3502687190493639,1.5490660333715671,1.9412459532459179,2.237145973368338,2.406338342203605,2.5216338030544314,2.6524188109874176,2.865052090198445,3.413579065522917,inf,3.9046450641320103,inf,inf,inf,inf,8.318562616754173,9.739896006449728,11.414081529527229,inf,inf,inf
4,inf,1.2039978296443914,1.5442001962394072,1.7576497096796304,1.8880757156297203,2.0196254092736345,2.181110948192125,2.4997718493283236,inf,inf,inf,inf,inf,inf,inf,inf,inf,8.250461474566361,8.904657441284893,inf,inf,inf
5,inf,inf,1.2404361416538034,inf,1.6028916817676542,1.7738263416493827,2.179912828007993,2.482646012181911,2.6241037702917445,2.8434210686107417,3.385366396028479,3.666460326057501,3.957515727961703,inf,4.795982520655121,5.205631583743406,6.5033960739356,inf,8.832791090315373,10.849127610946978,inf,8.319729344996636
6,inf,inf,inf,inf,inf,inf,inf,2.319099316645703,inf,inf,3.1172805965347523,3.3588132347614144,3.494604640482203,inf,4.151067834428792,inf,inf,8.752470910679122,inf,inf,inf,8.135168672644467
7,inf,0.9740354084094076,inf,inf,inf,1.9443213330647848,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11.773809065503881,inf
8,inf,0.9667779546544211,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4.42686854927709,inf,inf,inf,inf,inf,inf,inf
9,inf,0.9592025986216293,inf,1.4052775564976707,inf,inf,inf,2.3135352030735308,inf,inf,inf,inf,inf,inf,inf,inf,5.227874972952857,6.233474245208202,inf,7.280745533891475,11.21442116505481,8.217536412460145
10,inf,inf,1.2287255608434278,1.4162879121893646,inf,1.742559283188505,inf,2.1570154040274594,inf,inf,inf,inf,3.144094076448717,inf,inf,inf,5.076887177058017,6.179883328336573,6.448793336307342,8.110590094375137,9.480154340118943,7.58927741928138
11,inf,inf,1.2006987763473869,inf,1.5220555036551466,1.6010760084993416,inf,inf,inf,inf,2.441428334826816,2.8872650108129845,3.018045990186984,3.427508618982037,3.9481514352148768,4.531650799103086,5.365342192703288,6.309420258832991,inf,inf,inf,7.273199975686633
12,0.7315813472236932,0.9492880468047861,1.1059853301476403,1.3135611929589381,1.3343750780712496,1.5239673949675425,1.7219318092627895,1.8886548852541485,1.932267035058491,2.0932177241114553,2.428250313424653,2.7322300649499414,2.70166337063283,3.2555845298602875,3.6030854680097626,4.085699317238646,4.837609395090073,6.04127235859994,6.890411961520955,7.288198397028217,7.904059039533184,inf
13,0.721891100210676,0.9157176152814033,1.0986232606873874,1.1624793520413879,1.2158372172108118,1.5039302675438622,1.5865894553182807,1.7159885471294671,1.9240264894237809,2.183080897067253,2.3140810508242864,2.374406071104304,2.8033710392411746,2.816125706345753,3.532381807403881,4.124134457156135,4.989705205129878,5.566539477235953,6.091419008812327,5.976829915576545,7.314165010835926,6.835816559726432
14,0.7120689949163121,0.8960909110181432,0.9636438715008687,1.0599496603438001,1.179621116961726,1.2826224171789737,1.4237920098289432,1.5697908591928165,1.6885399225581934,1.7607405911792633,1.8518276803116556,2.3694455109892814,2.4535567015932567,2.7395436094139725,3.080916859854496,3.5844142001067234,3.8770722035590697,inf,inf,5.721786896152947,8.860707036971784,inf
