,0,1,2,3
0,0.881917103688197,0.8819171036881971,0.9023343449219018,0.9039930678336909
1,0.8819171036881969,0.9020075123153828,0.932923908826842,0.8724114648229355
2,0.8498365855987974,0.8528542974510331,0.8997878111703411,0.8362946138192818
3,0.816496580927726,0.8193540399925826,0.8648181298463051,0.8045784870553556
4,0.7817359599705717,0.7836236683302551,0.8265384662514016,0.7634294890154657
5,0.74535599249993,0.7466833559567485,0.773072042490549,0.7082826257871059
6,0.7071067811865476,0.7084266940715811,0.7088553414136746,0.6678898904989488
7,0.6666666666666665,0.6678296373381113,0.6684983886773288,0.624418511010465
8,0.6236095644623236,0.6246479454830092,0.6299752716624317,0.57812913345091
9,0.5773502691896257,0.5775794876217377,0.5850612860349043,0.5278096859638183
10,0.5270462766947296,0.5272414769706133,0.5285870214134055,0.47206580258944947
11,0.4714045207910312,0.4715179296499971,0.4731632748221836,0.4087026734437721
12,0.40824829046386296,0.4083621014934733,0.40999515989553154,0.33358246573766137
13,0.3333333333333333,0.3333451200744406,0.334293432080697,0.235839223763367
14,0.23570226039551587,0.23571359730289942,0.23585409626129736,0.2760423961713413
